Month,RF_mm,Tmin_c,Tmax_c,RF_in,Tmean_c,Tmean_f,Tmin_f,Tmax_f
January,32993.0,24.32,31.28,1298.94,27.8,82.04,75.78,88.3
February,31367.0,24.55,31.67,1234.92,28.11,82.6,76.19,89.01
March,30224.0,25.08,31.61,1189.92,28.34,83.02,77.14,88.9
April,25402.0,24.88,31.18,1000.08,28.03,82.45,76.78,88.12
May,25584.0,25.04,30.35,1007.24,27.7,81.85,77.07,86.63
June,21834.0,24.32,29.59,859.61,26.96,80.52,75.78,85.26
July,16653.0,23.66,29.09,655.63,26.38,79.47,74.59,84.36
August,22244.0,23.76,29.15,875.75,26.46,79.62,74.77,84.47
September,19834.0,23.89,29.92,780.87,26.9,80.43,75.0,85.86
October,29517.0,24.32,30.18,1162.09,27.25,81.05,75.78,86.32
November,30734.0,23.96,30.71,1210.0,27.34,81.2,75.13,87.28
December,32755.0,24.22,31.11,1289.57,27.66,81.8,75.6,88.0
