Month,RF_mm,Tmin_c,Tmax_c,RF_in,Tmean_c,Tmean_f,Tmin_f,Tmax_f
January,44693.0,22.51,29.12,1759.57,25.82,78.47,72.52,84.42
February,46724.0,22.74,29.51,1839.53,26.12,79.03,72.93,85.12
March,44539.0,23.25,29.45,1753.5,26.35,79.43,73.85,85.01
April,43161.0,23.05,29.02,1699.25,26.04,78.86,73.49,84.24
May,46054.0,23.21,28.19,1813.15,25.7,78.26,73.78,82.74
June,40192.0,22.51,27.44,1582.36,24.98,76.96,72.52,81.39
July,30789.0,21.85,26.94,1212.17,24.4,75.91,71.33,80.49
August,34382.0,21.95,27.0,1353.62,24.48,76.06,71.51,80.6
September,39824.0,22.08,27.77,1567.87,24.92,76.86,71.74,81.99
October,50095.0,22.51,28.03,1972.24,25.27,77.49,72.52,82.45
November,43819.0,22.16,28.56,1725.16,25.36,77.65,71.89,83.41
December,52030.0,22.42,28.96,2048.43,25.69,78.24,72.36,84.13
